City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,17.65,91,26,3.58,PT,1715302982
1,vernon,50.2581,-119.2691,26.74,25,12,1.79,CA,1715302801
2,itoman,26.1247,127.6694,24.49,57,75,3.6,JP,1715302983
3,puerto natales,-51.7236,-72.4875,-0.82,95,78,1.31,CL,1715302983
4,port saint john's,-31.6229,29.5448,20.52,67,3,1.96,ZA,1715302983
5,grytviken,-54.2811,-36.5092,-0.39,91,100,1.73,GS,1715302983
6,magadi,12.9667,77.2333,24.51,64,100,1.33,IN,1715302984
7,ushuaia,-54.8,-68.3,-0.19,74,0,5.14,AR,1715302984
8,ancud,-41.8697,-73.8203,8.7,81,59,3.68,CL,1715302984
9,adamstown,-25.066,-130.1015,22.29,76,99,4.79,PN,1715302984
10,olonkinbyen,70.9221,-8.7187,-1.63,79,12,7.68,SJ,1715302984
11,port-aux-francais,-49.35,70.2167,6.37,91,100,17.12,TF,1715302985
12,bereznik,62.8551,42.7072,-3.41,94,100,4.46,RU,1715302985
13,kirensk,57.7853,108.1119,4.98,57,35,4.02,RU,1715302985
14,bilibino,68.0546,166.4372,-0.4,87,100,1.08,RU,1715302985
15,edinburgh of the seven seas,-37.0676,-12.3116,12.43,60,100,3.59,SH,1715302985
16,lihue,21.9789,-159.3672,26.58,69,20,3.6,US,1715302986
17,wynyard,-41.0,145.7167,16.28,66,100,6.39,AU,1715302986
18,gamba,-2.65,10.0,25.09,91,100,2.1,GA,1715302986
19,port mathurin,-19.6833,63.4167,25.38,72,100,11.43,MU,1715302986
20,montepuez,-13.1256,38.9997,17.33,96,1,2.21,MZ,1715302986
21,tlahualilo de zaragoza,26.1167,-103.45,36.59,6,56,7.97,MX,1715302987
22,bulgan,48.8125,103.5347,5.85,39,0,5.84,MN,1715302987
23,puerto aysen,-45.4,-72.7,3.7,100,100,0.4,CL,1715302987
24,utrik,11.2278,169.8474,27.25,80,87,8.46,MH,1715302987
25,mezhdurechenskiy,59.6,65.9333,1.03,76,5,3.29,RU,1715302987
26,san antonio de pale,-1.4014,5.6325,26.76,89,100,5.93,GQ,1715302988
